,node0,node1,weight
652,fearful,scare,2
653,fearful,feared,2
654,fearful,frightful,1
655,fearful,dreadful,1
656,fearful,apprehension,2
657,fearful,awed,2
658,fearful,fright,2
659,fearful,frighten,2
660,fearful,cowardly,0
661,fearful,nasty,2
662,lonely,alone,0
663,lonely,unique,2
664,ecstatic,delight,1
665,ecstatic,enraptured,0
666,motivated,prompt,1
667,thrilled,drunk,2
668,thrilled,chill,2
669,thrilled,thrill,1
670,stupid,amazed,2
671,stupid,out,2
672,stupid,astonished,2
673,stupid,stunned,1
674,stupid,dumbfounded,2
675,stupid,astounded,2
676,stupid,dazed,0
677,stupid,beat,2
678,stupid,stupefied,1
679,stupid,groggy,2
680,stupid,flabbergasted,2
681,loving,love,1
682,loving,complete,2
683,loving,enjoy,1
684,loving,delight,2
685,loving,passion,2
686,loving,beloved,2
687,loving,thrill,2
688,sorry,sick,2
689,sorry,regretful,1
690,sorry,bad,0
691,sorry,down,2
692,sorry,miserable,2
693,sorry,poor,2
694,sorry,dirty,2
695,sorry,downhearted,2
696,sorry,worrisome,2
697,sorry,criminal,2
698,sorry,tough,2
699,sorry,pathetic,2
700,sorry,spoiled,2
701,sorry,low,2
702,sorry,naughty,2
703,sorry,gloomy,1
704,sorry,glum,2
705,sorry,moody,2
706,sorry,morose,2
707,sorry,dispirited,2
708,sorry,stern,2
709,sorry,relentless,2
710,sorry,blue,1
711,sorry,distress,2
712,sorry,badly,1
713,sorry,big,2
714,sorry,downcast,2
715,sorry,sulky,2
716,sorry,grim,1
717,sorry,dark,1
718,sorry,woeful,2
719,sorry,pitiful,1
720,sorry,sour,2
721,sorry,piteous,2
722,sorry,unforgiving,2
723,sorry,sullen,2
724,sadness,regret,2
725,sadness,grief,2
726,sadness,sorrow,1
727,sadness,grieved,2
728,sadness,grieving,2
729,sadness,gloominess,0
730,frightened,terrified,0
731,frightened,panicked,0
732,frightened,panic,1
733,frightened,terror,2
734,frightened,scare,1
735,frightened,panicky,0
736,frightened,fright,1
737,frightened,frighten,1
738,unhappy,stressed,2
739,unhappy,distressed,0
740,unhappy,disturbed,2
741,unhappy,distress,2
742,sick,disgust,2
743,sick,distressed,2
744,sick,uneasy,2
745,sick,down,2
746,sick,disturbed,1
747,sick,ill,1
748,sick,nauseous,1
749,sick,crazy,1
750,sick,sore,2
751,sick,downhearted,2
752,sick,frantic,2
753,sick,low,2
754,sick,wild,2
755,sick,trouble,2
756,sick,gloomy,2
757,sick,disturb,2
758,sick,poorly,2
759,sick,dispirited,2
760,sick,queasy,1
761,sick,stern,2
762,sick,relentless,2
763,sick,blue,2
764,sick,badly,2
765,sick,put,2
766,sick,downcast,2
767,sick,cats,1
768,sick,grim,1
769,sick,dark,2
770,sick,loathsome,2
771,sick,nauseated,1
772,sick,unforgiving,2
773,sick,framed,2
774,sick,insane,2
775,sick,offensive,2
776,productive,rich,1
777,productive,fat,0
778,productive,richer,1
779,productive,plentiful,2
780,friendly,prosperous,2
781,regretful,bad,0
782,regretful,tough,2
783,regretful,spoiled,2
784,regretful,gloomy,2
785,regretful,blue,2
786,regretful,badly,1
787,regretful,big,2
788,regretful,grim,2
789,regretful,dark,2
790,regretful,pitiful,2
791,desire,trust,1
792,desire,wanted,1
793,desire,trusting,1
794,desire,needed,2
795,desire,lacking,2
796,desire,hope,0
797,desire,wanting,1
798,desire,committed,2
799,desire,trustful,2
800,desire,confidence,2
801,desire,missing,2
802,desire,hoping,0
803,desire,lack,2
804,desire,trusted,1
805,desire,sure,2
806,desire,need,2
807,desire,desired,1
808,desire,cherished,2
809,desire,want,1
810,desire,entrusting,2
811,desire,believed,2
812,desire,promise,2
813,glad,happier,1
814,excitement,exhilaration,0
815,excitement,irritation,2
816,indifferent,apathetic,0
817,indifferent,neutral,1
818,indifferent,sluggish,2
819,terrified,panicked,1
820,terrified,panic,2
821,terrified,scare,2
822,terrified,panicky,1
823,terrified,fright,2
824,terrified,frighten,2
825,delighted,love,2
826,delighted,pleasure,2
827,delighted,enthralled,1
828,delighted,enjoy,1
829,delighted,delight,1
830,delighted,entranced,1
831,delighted,captivated,1
832,delighted,outrage,2
833,delighted,please,1
834,overwhelmed,defeat,2
835,cautious,shy,1
836,cautious,timid,0
837,cautious,faint,2
838,cautious,conservative,0
839,relief,comforted,2
840,relief,rested,2
841,relief,comfort,2
842,relief,rest,1
843,relief,succor,1
844,relief,relaxation,2
845,relief,alleviated,2
846,relief,lied,2
847,relief,still,2
848,relief,eased,2
849,stressed,distressed,1
850,stressed,disturbed,2
851,stressed,tense,2
852,stressed,stress,1
853,stressed,tension,2
854,stressed,distress,2
855,stressed,try,1
856,bad,great,2
857,bad,expectant,2
858,bad,inquisitive,2
859,bad,giving,2
860,bad,ill,1
